radius center_x center_y
75.1029 419.3 393
42.9013 558.74 419.975
75.1029 419.3 393
42.9013 558.74 419.975
26.8179 151.625 419.36
30.0684 154.562 418.698
30.0684 155.806 419.114
31.6298 155.806 419.114
33.7203 154.975 417.455
35.4075 153.7 418.315
35.4075 153.7 418.315
35.4075 155.163 418.097
35.4075 155.163 418.097
40.484 148.72 418.315
40.484 148.72 418.315
47.5965 156.605 419.975
56.6697 161.17 415.41
61.6323 164.49 411.26
65.2004 171.13 406.28
65.2004 173.205 403.375
65.2004 178.6 400.47
62.9738 179.43 397.565
61.5307 180.675 395.905
57.6572 183.954 394.411
55.8511 185.848 394.154
54.1649 186.216 392.185
51.2893 188.315 389.727
49.82 189.131 388.371
46.8522 190.656 385.911
45.3225 191.477 384.679
49.3313 194.729 379.484
56.4968 200.962 369.701
59.1938 204.207 365.492
60.2549 206.021 362.002
60.2549 208.42 356.942
60.2549 208.115 354.224
60.2549 208.587 351.628
57.0945 210.97 349.84
55.3664 213.875 349.84
53.4102 217.61 349.425
51.918 220.515 349.425
51.918 222.59 349.425
50.613 224.665 349.84
49.5727 226.325 349.425
43.6919 223.835 342.785
45.0583 229.937 343.075
48.1774 236.132 342.27
52.5276 243.755 339.88
53.6002 246.245 338.22
53.6002 249.565 336.145
52.4311 251.64 336.145
52.4311 252.47 334.9
49.5775 255.337 333.693
48.5006 256.781 333.909
48.5006 258.28 334.07
45.494 259.044 332.29
45.494 259.044 332.29
45.494 257.105 328.92
55.6117 265.66 321.385
62.2253 273.635 318.715
71.4427 284.84 314.565
74.0082 289.405 313.735
76.89 292.725 310
78.1217 293.555 307.925
78.1217 293.555 307.925
76.8876 295.04 306.775
75.5702 295.04 306.775
71.38 293.14 306.265
68.9473 293.14 306.265
65.5766 291.065 306.68
59.9625 289.405 306.265
57.8877 289.405 306.265
55.8262 288.99 304.19
52.7819 291.065 301.285
50.8489 293.555 300.455
49.1554 293.555 298.795
45.9986 296.045 296.72
43.1141 299.417 295.131
43.1141 299.417 295.131
41.7223 296.086 292.561
41.7223 299.78 290.91
41.7223 301.025 289.665
41.7223 304.345 288.005
41.7223 306.208 287.181
43.2603 311.769 285.968
44.9337 318.867 283.686
44.9337 320.121 283.31
43.7315 320.121 283.31
43.7315 321.164 282.067
43.7315 321.164 282.067
43.7315 322.357 281.849
43.7315 325.678 281.678
43.7315 328.415 280.95
43.7315 331.32 280.12
48.9715 335.055 275.97
54.5893 340.035 270.16
60.4109 344.6 264.35
68.0992 349.58 256.465
70.4012 349.995 253.975
70.4012 351.655 252.315
68.7801 353.315 252.73
65.7352 354.145 254.39
59.9179 355.39 257.295
56.5511 355.805 258.54
51.4604 355.805 258.54
49.7916 355.805 258.54
46.8122 355.805 258.54
45.7167 354.414 256.548
45.7167 353.068 255.792
42.9901 352.464 254.089
42.9901 352.464 254.089
42.9901 353.072 252.197
42.9901 355.231 248.964
42.9901 355.231 248.964
42.9901 356.467 247.158
42.9901 357.685 244.882
42.9901 357.685 244.882
52.4707 360.37 241.94
59.8316 362.03 241.525
78.9503 364.105 241.11
90.7106 364.105 241.11
102.905 365.765 241.525
114.06 365.765 241.525
128.338 367.01 244.015
131.053 367.01 245.675
131.053 368.255 245.675
131.053 368.255 245.675
131.053 369.915 244.845
131.053 370.745 243.6
131.053 371.16 242.355
129.263 371.575 240.695
122.845 371.16 238.62
116.666 370.745 237.375
108.829 370.33 236.13
86.556 368.67 234.885
74.7836 367.01 235.3
63.2887 366.595 236.545
44.9905 365.765 239.035
40.9233 367.408 240.953
39.7359 367.408 240.953
39.7359 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
41.2174 367.408 240.953
43.8109 364.721 241.75
45.708 363.275 241.525
49.1511 364.52 239.45
61.3763 364.52 239.45
68.6253 365.35 240.695
77.0689 365.35 240.695
92.9411 365.35 243.185
100.926 365.35 243.185
107.56 364.52 245.675
118.725 362.03 248.165
122.94 360.785 248.995
127.326 358.295 251.07
127.326 358.295 251.07
128.943 356.635 252.315
128.943 356.635 252.315
128.943 355.39 252.73
128.943 355.39 252.73
128.943 355.39 252.73
